htid	page_number	page_tokens
inu.30000042059158	1	['achievement', 'brilliant', 'rain', 'rumours', 'times']
inu.30000042059158	2	[]
inu.30000042059158	3	[]
inu.30000042059158	4	[]
inu.30000042059158	5	['act', 'africa', 'african', 'ambassadors', 'andre', 'andre', 'arts', 'author', 'award', 'booker', 'born', 'brink', 'brink', 'cape', 'chain', 'chevalier', 'cna', 'commandeur', 'darkness', 'daughter', 'de', 'des', 'des', 'dry', 'emergency', 'english', 'english', 'et', 'etranger', 'france', 'important', 'instant', 'king', 'legion', 'lettres', 'literary', 'looking', 'luther', 'made', 'martin', 'medicis', 'named', 'nine', 'novels', 'novels', 'onz', 'ordre', 'plague', 'prix', 'prize', 'prize', 'prize', 'professor', 'rain', 'rain', 'received', 'rumours', 'rumours', 'season', 'shortlisted', 'sons', 'south', 'south', 'states', 'terror', 'three', 'three', 'times', 'town', 'twice', 'university', 'voices', 'wall', 'white', 'wind']
inu.30000042059158	6	['act', 'african', 'ambassadors', 'apart', 'author', 'available', 'chain', 'coetzee', 'darkness', 'dry', 'emergency', 'essays', 'instant', 'land', 'looking', 'mapmakers', 'minerva', 'plague', 'reader', 'season', 'south', 'states', 'terror', 'voices', 'wall', 'white', 'wind']
inu.30000042059158	7	['andre', 'brink', 'minerva', 'rain', 'rumours']
inu.30000042059158	8	['allen', 'andre', 'auckland', 'available', 'berks', 'binding', 'book', 'books', 'bound', 'brink', 'britain', 'britain', 'british', 'catalogue', 'cip', 'circulated', 'condition', 'condition', 'condition', 'consent', 'consumer', 'copyright', 'cover', 'cox', 'edition', 'first', 'form', 'fulham', 'great', 'great', 'hired', 'house', 'imposed', 'imprint', 'including', 'isbn', 'lent', 'library', 'london', 'ltd', 'ltd', 'ltd', 'mandarin', 'melbourne', 'michelin', 'minerva', 'minerva', 'otherwise', 'otherwise', 'paperback', 'paperbacks', 'printed', 'prior', 'published', 'published', 'published', 'publisher', 'purchaser', 'rain', 'reading', 'record', 'reed', 'reprinted', 'resold', 'road', 'rumours', 'shall', 'similar', 'singapore', 'sold', 'subject', 'subsequent', 'title', 'toronto', 'trade', 'twice', 'way', 'without', 'without', 'wyman']
inu.30000042059158	9	['asking', 'blood', 'breyten', 'breytenbach', 'carries', 'fire', 'given', 'land', 'land', 'water', 'within']
inu.30000042059158	10	[]
inu.30000042059158	11	['memo']
inu.30000042059158	12	[]
